21
0	570	441	765	749	786	615	523	566	782	585	779	447	504	741	722	738	655	766	688	725	
570	0	811	553	844	828	853	514	671	805	794	745	846	651	879	770	820	763	534	606	567	
441	811	0	685	617	674	561	510	629	838	868	568	865	650	455	542	713	678	555	734	792	
765	553	685	0	591	485	467	478	443	474	635	802	528	859	550	796	858	829	648	753	498	
749	844	617	591	0	744	626	560	605	612	506	755	524	543	495	491	862	683	599	675	740	
786	828	674	485	744	0	642	458	602	526	681	706	718	697	798	460	473	762	462	710	565	
615	853	561	467	626	642	0	793	843	842	589	711	619	785	531	754	461	774	719	465	641	
523	514	510	478	560	458	793	0	551	499	662	601	507	742	540	653	700	445	636	616	645	
566	671	629	443	605	602	843	551	0	684	679	463	492	456	733	538	502	810	709	572	464	
782	805	838	474	612	526	842	499	684	0	638	673	482	797	444	646	835	768	549	475	875	
585	794	868	635	506	681	589	662	679	638	0	633	714	707	819	852	703	668	778	448	639	
779	745	568	802	755	706	711	601	463	673	633	0	503	692	664	610	676	579	527	850	841	
447	846	865	528	524	718	619	507	492	482	714	503	0	696	657	751	712	508	525	743	746	
504	651	650	859	543	697	785	742	456	797	707	692	696	0	576	547	689	840	824	833	783	
741	879	455	550	495	798	531	540	733	444	819	664	657	576	0	813	584	704	647	784	804	
722	770	542	796	491	460	754	653	538	646	852	610	751	547	813	0	481	654	834	807	452	
738	820	713	858	862	473	461	700	502	835	703	676	712	689	584	481	0	771	529	493	881	
655	763	678	829	683	762	774	445	810	768	668	579	508	840	704	654	771	0	877	815	556	
766	534	555	648	599	462	719	636	709	549	778	527	525	824	647	834	529	877	0	608	533	
688	606	734	753	675	710	465	616	572	475	448	850	743	833	784	807	493	815	608	0	708	
725	567	792	498	740	565	641	645	464	875	639	841	746	783	804	452	881	556	533	708	0	
