32
0	1564	1092	1207	1458	1362	1194	1305	1729	1089	1450	1143	1641	1985	1096	1912	1409	1721	1974	1273	1688	1047	1656	1916	1335	1582	2043	1490	1189	1830	1568	1055	
1564	0	1309	1618	1986	1136	1061	2012	1363	1940	1594	1815	1883	2028	1817	1535	1702	1276	1620	1434	1923	1700	1910	1753	1537	1730	1834	2026	1973	1480	1651	1609	
1092	1309	0	1704	1723	1995	1419	1138	1584	1675	1699	1247	1888	1184	1343	1558	1460	1142	2004	1313	1073	1050	1356	1344	1866	1975	1722	1163	1708	2008	1860	1167	
1207	1618	1704	0	1251	2011	1056	1455	1320	1881	1809	1530	1413	1918	2000	1958	1740	1424	1353	1731	1628	1070	2033	1901	1062	1116	1372	1137	1465	2020	1687	1214	
1458	1986	1723	1251	0	1825	1836	1991	1252	1271	1640	1515	1882	1977	1386	1422	1947	1736	1366	1957	1794	1696	1776	1482	1915	1198	1432	1492	1509	1720	1240	1041	
1362	1136	1995	2011	1825	0	1518	1426	1709	1707	1097	1927	1196	1328	1806	1244	1868	1686	2039	1570	1405	1195	1533	1452	1086	1666	1619	1545	1935	1517	2021	1028	
1194	1061	1419	1056	1836	1518	0	1289	1762	1692	1791	1544	1599	1121	1301	1100	1818	1500	1048	1774	1610	1307	1680	2047	1495	1158	1960	1853	1635	1682	1408	1066	
1305	2012	1138	1455	1991	1426	1289	0	1760	1206	1487	1411	1845	1347	1037	1077	1486	1511	1053	1101	1104	2032	1519	1216	1472	1338	1505	1895	1861	1429	1592	1793	
1729	1363	1584	1320	1252	1709	1762	1760	0	1667	1261	1539	1332	1670	1285	1786	1336	1925	1621	1228	1993	1456	1310	1446	1117	1684	1294	1789	1800	1308	1695	1359	
1089	1940	1675	1881	1271	1707	1692	1206	1667	0	1842	1404	1970	1897	1254	1042	1650	1661	1046	1330	1223	1526	1586	1049	1316	1257	1078	1796	1920	1629	1636	1420	
1450	1594	1699	1809	1640	1097	1791	1487	1261	1842	0	2013	1146	1613	1212	1560	1032	1745	1448	1733	1029	2010	1154	1751	1627	1231	1099	1765	1290	1051	1801	1064	
1143	1815	1247	1530	1515	1927	1544	1411	1539	1404	2013	0	1779	1278	1785	1038	2044	1510	1406	1329	1777	1236	1679	1033	1160	1624	1072	1076	1174	1036	1090	1375	
1641	1883	1888	1413	1882	1196	1599	1845	1332	1970	1146	1779	0	1807	1180	1103	1162	2024	1201	1164	1443	1381	1606	1875	1841	1040	1602	1798	1894	1961	1286	1471	
